"time","Out1","Out2","Out3","Out4"
0,0,0,0,0
0.001,0.00299625,0.0009995,2.5e-08,0
0.002,0.00598502,0.001998,3.80598e-07,0
0.003,0.00896631,0.0029955,1.86275e-06,0
0.004,0.0119401,0.00399201,5.68705e-06,0
0.005,0.0149065,0.00498752,1.33833e-05,0
0.006,0.0178655,0.00598204,2.66864e-05,0
0.007,0.020817,0.00697556,4.74291e-05,0
0.008,0.0237611,0.00796809,7.74412e-05,0
0.009,0.0266978,0.00895962,0.00011846,0
0.01,0.0296271,0.00995017,0.000172051,0
0.011,0.0325491,0.0109397,0.000239552,0
0.012,0.0354637,0.0119283,0.000322023,0
0.013,0.038371,0.0129159,0.000420225,0
0.014,0.0412709,0.0139025,0.000534605,0
0.015,0.0441635,0.0148881,0.000665303,0
0.016,0.0470488,0.0158727,0.000812175,0
0.017,0.0499268,0.0168563,0.000974815,0
0.018,0.0527975,0.017839,0.0011526,0
0.019,0.055661,0.0188206,0.00134474,0
0.02,0.0585172,0.0198013,0.00155031,0
0.021,0.0613662,0.020781,0.00176831,0
0.022,0.0642079,0.0217598,0.00199773,0
0.023,0.0670424,0.0227375,0.00223755,0
0.024,0.0698698,0.0237143,0.00248684,0
0.025,0.0726899,0.0246901,0.00274472,0
0.026,0.0755029,0.0256649,0.00301045,0
0.027,0.0783087,0.0266388,0.00328342,0
0.028,0.0811074,0.0276116,0.00356316,0
0.029,0.0838989,0.0285835,0.00384933,0
0.03,0.0866833,0.0295545,0.00414174,0
0.031,0.0894606,0.0305244,0.00444034,0
0.032,0.0922309,0.0314934,0.00474517,0
0.033,0.094994,0.0324614,0.00505637,0
0.034,0.0977501,0.0334285,0.00537418,0
0.035,0.100499,0.0343946,0.00569886,0
0.036,0.103241,0.0353597,0.00603071,0
0.037,0.105976,0.0363239,0.00637004,0
0.038,0.108704,0.0372871,0.00671714,0
0.039,0.111425,0.0382493,0.00707229,0
0.04,0.114139,0.0392106,0.00743571,0
0.041,0.116846,0.0401709,0.00780757,0
0.042,0.119546,0.0411302,0.00818799,0
0.043,0.122239,0.0420886,0.00857701,0
0.044,0.124925,0.043046,0.00897463,0
0.045,0.127604,0.0440025,0.00938076,0
0.046,0.130277,0.044958,0.00979528,0
0.047,0.132942,0.0459126,0.010218,0
0.048,0.135601,0.0468662,0.0106488,0
0.049,0.138252,0.0478189,0.0110873,0
0.05,0.140897,0.0487706,0.0115333,0
0.051,0.143535,0.0497213,0.0119865,0
0.052,0.146166,0.0506711,0.0124467,0
0.053,0.148791,0.05162,0.0129136,0
0.054,0.151408,0.0525679,0.013387,0
0.055,0.154019,0.0535149,0.0138666,0
0.056,0.156623,0.0544609,0.0143522,0
0.057,0.159221,0.0554059,0.0148438,0
0.058,0.161811,0.0563501,0.0153411,0
0.059,0.164395,0.0572932,0.015844,0
0.06,0.166972,0.0582355,0.0163525,0
0.061,0.169543,0.0591768,0.0168666,0
0.062,0.172106,0.0601171,0.0173861,0
0.063,0.174663,0.0610565,0.0179111,0
0.064,0.177214,0.061995,0.0184416,0
0.065,0.179757,0.0629325,0.0189776,0
0.066,0.182295,0.0638691,0.0195191,0
0.067,0.184825,0.0648048,0.0200662,0
0.068,0.187349,0.0657395,0.0206187,0
0.069,0.189866,0.0666733,0.0211768,0
0.07,0.192377,0.0676062,0.0217405,0
0.071,0.194881,0.0685381,0.0223096,0
0.072,0.197379,0.0694691,0.0228842,0
0.073,0.19987,0.0703992,0.0234643,0
0.074,0.202354,0.0713283,0.0240497,0
0.075,0.204832,0.0722565,0.0246404,0
0.076,0.207304,0.0731838,0.0252364,0
0.077,0.209769,0.0741101,0.0258375,0
0.078,0.212227,0.0750356,0.0264437,0
0.079,0.21468,0.0759601,0.0270548,0
0.08,0.217125,0.0768837,0.0276709,0
0.081,0.219565,0.0778063,0.0282917,0
0.082,0.221997,0.078728,0.0289171,0
0.083,0.224424,0.0796489,0.0295472,0
0.084,0.226844,0.0805687,0.0301817,0
0.085,0.229257,0.0814877,0.0308207,0
0.086,0.231665,0.0824058,0.031464,0
0.087,0.234066,0.0833229,0.0321116,0
0.088,0.23646,0.0842391,0.0327634,0
0.089,0.238849,0.0851544,0.0334194,0
0.09,0.241231,0.0860688,0.0340794,0
0.091,0.243606,0.0869823,0.0347436,0
0.092,0.245976,0.0878949,0.0354118,0
0.093,0.248339,0.0888065,0.0360839,0
0.094,0.250696,0.0897172,0.03676,0
0.095,0.253046,0.0906271,0.0374401,0
0.096,0.255391,0.091536,0.038124,0
0.097,0.257729,0.092444,0.0388118,0
0.098,0.260061,0.0933511,0.0395035,0
0.099,0.262387,0.0942573,0.0401989,0
0.1,0.264706,0.0951626,0.0408981,0
0.101,0.26702,0.096067,0.041601,0
0.102,0.269327,0.0969704,0.0423076,0
0.103,0.271628,0.097873,0.0430178,0
0.104,0.273924,0.0987747,0.0437317,0
0.105,0.276212,0.0996755,0.0444491,0
0.106,0.278495,0.100575,0.04517,0
0.107,0.280772,0.101474,0.0458943,0
0.108,0.283043,0.102372,0.0466221,0
0.109,0.285307,0.10327,0.0473532,0
0.11,0.287566,0.104166,0.0480876,0
0.111,0.289819,0.105061,0.0488253,0
0.112,0.292065,0.105956,0.0495662,0
0.113,0.294306,0.106849,0.0503103,0
0.114,0.29654,0.107742,0.0510575,0
0.115,0.298769,0.108634,0.0518078,0
0.116,0.300991,0.109525,0.0525611,0
0.117,0.303208,0.110415,0.0533175,0
0.118,0.305419,0.111304,0.0540768,0
0.119,0.307624,0.112192,0.054839,0
0.12,0.309823,0.11308,0.0556041,0
0.121,0.312015,0.113966,0.0563721,0
0.122,0.314203,0.114852,0.0571429,0
0.123,0.316384,0.115736,0.0579165,0
0.124,0.318559,0.11662,0.0586928,0
0.125,0.320729,0.117503,0.0594719,0
0.126,0.322892,0.118385,0.0602537,0
0.127,0.32505,0.119266,0.0610382,0
0.128,0.327202,0.120147,0.0618253,0
0.129,0.329348,0.121026,0.062615,0
0.13,0.331489,0.121905,0.0634073,0
0.131,0.333624,0.122782,0.0642022,0
0.132,0.335752,0.123659,0.0649996,0
0.133,0.337876,0.124535,0.0657995,0
0.134,0.339993,0.12541,0.0666018,0
0.135,0.342105,0.126284,0.0674066,0
0.136,0.344211,0.127157,0.0682137,0
0.137,0.346311,0.12803,0.0690233,0
0.138,0.348406,0.128901,0.0698352,0
0.139,0.350495,0.129772,0.0706493,0
0.14,0.352578,0.130642,0.0714658,0
0.141,0.354656,0.131511,0.0722845,0
0.142,0.356728,0.132379,0.0731055,0
0.143,0.358794,0.133246,0.0739286,0
0.144,0.360855,0.134112,0.0747539,0
0.145,0.36291,0.134978,0.0755813,0
0.146,0.364959,0.135842,0.0764109,0
0.147,0.367003,0.136706,0.0772425,0
0.148,0.369042,0.137569,0.0780762,0
0.149,0.371075,0.138431,0.0789119,0
0.15,0.373102,0.139292,0.0797496,0
0.151,0.375124,0.140152,0.0805893,0
0.152,0.37714,0.141012,0.081431,0
0.153,0.379151,0.14187,0.0822746,0
0.154,0.381157,0.142728,0.0831201,0
0.155,0.383156,0.143585,0.0839675,0
0.156,0.385151,0.144441,0.0848168,0
0.157,0.38714,0.145296,0.0856679,0
0.158,0.389123,0.14615,0.0865209,0
